raca,sexo,idade_meses,peso_kg,altura_cm,escore_corporal,ganho_diario_kg,temperatura_corporal,circunferencia_toracica_cm,situacao
nelore,femea,21,432,130.7,7.3,1.06,38.5,162.5,saudavel
nelore,macho,8,196,107.1,5.5,0.46,38.6,124.9,abaixo_peso
nelore,femea,20,413,133.2,8.1,0.89,39.3,146.3,saudavel
nelore,macho,34,684,154.6,9.0,1.57,38.5,191.1,excelente
nelore,femea,32,614,152.5,8.0,1.15,38.4,180.2,saudavel
nelore,macho,18,413,130.1,8.0,1.06,39.3,157.3,saudavel
nelore,femea,23,370,133.1,4.1,0.4,38.6,166.5,risco_nutricional
nelore,macho,11,191,113.5,3.6,0.34,39.2,130.7,risco_nutricional
nelore,femea,36,706,161.8,9.3,1.34,38.1,196.4,excelente
nelore,macho,13,336,116.4,6.6,0.72,39.2,140.5,saudavel
nelore,femea,13,278,120.0,5.8,0.49,39.1,133.3,abaixo_peso
nelore,macho,25,635,143.7,8.1,1.21,38.2,157.4,sobrepeso
nelore,femea,15,349,118.6,7.3,1.06,39.0,145.0,saudavel
nelore,macho,9,254,108.2,8.1,1.0,39.4,134.3,saudavel
nelore,femea,17,397,124.3,7.2,0.95,39.2,152.6,saudavel
nelore,macho,9,258,112.9,7.7,1.11,38.6,133.5,saudavel
nelore,femea,36,679,159.7,8.0,0.97,38.6,192.9,saudavel
nelore,macho,14,325,123.3,8.1,0.74,38.3,140.2,saudavel
nelore,femea,25,496,137.5,6.6,1.13,38.3,169.8,saudavel
nelore,macho,16,292,119.9,6.0,0.51,39.3,138.6,abaixo_peso
nelore,femea,29,570,148.4,7.9,1.05,38.7,178.5,saudavel
nelore,macho,8,245,110.1,7.8,0.85,38.7,128.1,saudavel
nelore,femea,19,535,127.4,8.3,1.15,38.4,145.7,sobrepeso
nelore,macho,12,314,114.1,8.3,1.05,39.0,132.8,saudavel
nelore,femea,24,608,140.9,8.6,1.29,38.4,160.6,sobrepeso
nelore,macho,15,241,118.4,3.2,0.21,38.4,150.1,risco_nutricional
nelore,femea,26,571,140.1,8.6,1.11,38.7,164.7,excelente
nelore,macho,36,560,159.7,3.2,0.22,38.8,192.2,risco_nutricional
nelore,femea,10,204,111.0,6.3,0.43,38.8,130.7,abaixo_peso
nelore,macho,25,539,143.3,9.3,1.29,38.4,166.4,excelente
nelore,femea,19,424,126.0,6.6,1.18,39.1,153.8,saudavel
nelore,macho,14,320,117.5,7.0,0.98,38.6,143.8,saudavel
nelore,femea,21,429,135.7,7.0,0.84,38.1,151.9,saudavel
nelore,macho,14,400,117.8,9.1,1.5,38.2,136.4,excelente
nelore,femea,10,352,115.3,8.6,1.13,38.8,137.2,excelente
nelore,macho,35,632,157.2,7.4,0.85,38.4,187.6,saudavel
nelore,femea,20,388,131.8,6.2,0.69,38.0,149.7,abaixo_peso
nelore,macho,27,591,145.7,9.1,1.11,39.1,170.6,excelente
nelore,femea,30,630,147.2,9.0,1.32,39.4,175.0,excelente
nelore,macho,32,585,151.2,7.4,0.9,38.1,175.0,saudavel
nelore,femea,19,403,131.3,7.8,0.9,38.1,145.2,saudavel
nelore,macho,14,335,116.2,8.1,1.11,39.2,140.2,saudavel
nelore,femea,7,172,107.1,5.9,0.6,38.1,121.7,abaixo_peso
nelore,macho,10,328,109.2,9.4,1.34,38.9,136.8,excelente
nelore,femea,28,475,143.2,5.0,0.56,39.2,165.4,abaixo_peso
nelore,macho,36,621,159.9,5.7,0.69,38.4,194.6,abaixo_peso
nelore,femea,21,370,133.6,5.2,0.48,39.0,150.4,abaixo_peso
